Completed Date , Description , Paid Out (GBP) , Paid In (GBP) , Exchange Out, Exchange In, Balance (GBP), Category, Notes
13-May-18, Oxo Tower Restaura  ,18,  ,  ,  ,104.24, restaurants, 
12-May-18, Cash at Sainsbury's Bank  ,20,  ,  ,  ,122.24, cash, 
12-May-18, Park Plaza Sherlock Holmes London  ,15.57,  ,  ,  ,142.24, restaurants, 
12-May-18, Park Plaza Sherlock Holmes London  ,9.15,  ,  ,  ,157.81, restaurants, 
12-May-18, TortelliniCup London  ,8,  ,  ,  ,166.96, restaurants, 
12-May-18, Marylebone  ,1.5,  ,  ,  ,174.96, restaurants, 
12-May-18, UoW  ,3.3,  ,  ,  ,176.46, restaurants, 
12-May-18, Marylebone  ,1.5,  ,  ,  ,179.76, restaurants, 
12-May-18, Marylebone  ,1.2,  ,  ,  ,181.26, restaurants, 
11-May-18, To Holidays   ,1,  ,  ,  ,182.46, transfers, 
11-May-18, To Holidays   ,1,  ,  ,  ,183.46, transfers, 
11-May-18, To Holidays   ,0.05,  ,  ,  ,184.46, transfers, 
11-May-18, To Holidays   ,0.93,  ,  ,  ,184.51, transfers, 
11-May-18, Marylebone  ,4.55,  ,  ,  ,185.44, restaurants, 
11-May-18, Sainsbury's  ,3.09,  ,  ,  ,189.99, groceries, 
11-May-18, TortelliniCup London  ,10.2,  ,  ,  ,193.08, restaurants, 
11-May-18, Park Plaza Sherlock Holmes London  ,3,  ,  ,  ,203.28, restaurants, 
11-May-18, Park Plaza Sherlock Holmes London  ,5.4,  ,  ,  ,206.28, restaurants, 
11-May-18, Marylebone  ,4.95,  ,  ,  ,211.68, restaurants, 
11-May-18, Marylebone  ,1.85,  ,  ,  ,216.63, restaurants, 
11-May-18, Sainsbury's  ,3,  ,  ,  ,218.48, groceries, 
11-May-18, To Holidays   ,0.5,  ,  ,  ,221.48, transfers, 
11-May-18, To Holidays   ,0.1,  ,  ,  ,221.98, transfers, 
11-May-18, From Holidays   ,  ,50,  ,  ,222.08, transfers, 
10-May-18, To Holidays   ,1,  ,  ,  ,172.08, transfers, 
10-May-18, To Holidays   ,0.8,  ,  ,  ,173.08, transfers, 
10-May-18, To Holidays   ,0.43,  ,  ,  ,173.88, transfers, 
10-May-18, Park Plaza Sherlock Holmes London  ,1,  ,  ,  ,174.31, restaurants, 
10-May-18, Park Plaza Sherlock Holmes London  ,1.9,  ,  ,  ,175.31, restaurants, 
10-May-18, To Holidays   ,0.5,  ,  ,  ,177.21, transfers, 
10-May-18, To Holidays   ,0.7,  ,  ,  ,177.71, transfers, 
10-May-18, To Holidays   ,0.85,  ,  ,  ,178.41, transfers, 
09-May-18, To Holidays   ,0.8,  ,  ,  ,179.26, transfers, 
09-May-18, To Holidays   ,50,  ,  ,  ,180.06, transfers, 
09-May-18, To Holidays   ,0.5,  ,  ,  ,230.06, transfers, 
09-May-18, Mandarin Oriental Hyde Park. London  ,4.85,  ,  ,  ,230.56, restaurants, 
09-May-18, Tesco Superstore  ,1.9,  ,  ,  ,235.41, groceries, 
09-May-18, DF/Mexico  ,14.2,  ,  ,  ,237.31, restaurants, 
09-May-18, Mandarin Oriental Hyde Park. London  ,2,  ,  ,  ,251.51, restaurants, 
09-May-18, To Holidays   ,1,  ,  ,  ,253.51, transfers, 
09-May-18, To Holidays   ,1,  ,  ,  ,254.51, transfers, 
09-May-18, To Holidays   ,0.6,  ,  ,  ,255.51, transfers, 
09-May-18, To Holidays   ,0.45,  ,  ,  ,256.11, transfers, 
09-May-18, Exchange  to GBP FX Rate £1 = €1.1419 ,  ,175.14,  EUR 200.00 ,  ,256.56, general, 
09-May-18, Costa Coffee  ,3.75,  ,  ,  ,81.42, restaurants, 
09-May-18, Ryman  ,4.99,  ,  ,  ,85.17, utilities, 
08-May-18, To Holidays   ,0.91,  ,  ,  ,90.16, transfers, 
08-May-18, To Holidays   ,0.15,  ,  ,  ,91.07, transfers, 
08-May-18, To Holidays   ,0.05,  ,  ,  ,91.22, transfers, 
08-May-18, To Holidays   ,1,  ,  ,  ,91.27, transfers, 
08-May-18, To Holidays   ,0.1,  ,  ,  ,92.27, transfers, 
07-May-18, Marylebone  ,4.55,  ,  ,  ,92.37, restaurants, 
07-May-18, Fucina  ,4,  ,  ,  ,96.92, restaurants, 
07-May-18, Hilco Supermarket Limited  ,17.17,  ,  ,  ,100.92, groceries, 
07-May-18, Starbucks Coffee  ,4.85,  ,  ,  ,118.09, restaurants, 
07-May-18, Feng Sushi West  ,69.35,  ,  ,  ,122.94, restaurants, 
07-May-18, Chipotle Mexican Grill  ,10.2,  ,  ,  ,192.29, restaurants, 
07-May-18, To Holidays   ,0.6,  ,  ,  ,202.49, transfers, 
07-May-18, To Holidays   ,0.8,  ,  ,  ,203.09, transfers, 
07-May-18, To Holidays   ,1,  ,  ,  ,203.89, transfers, 
07-May-18, To Holidays   ,0.15,  ,  ,  ,204.89, transfers, 
07-May-18, To Holidays   ,0.1,  ,  ,  ,205.04, transfers, 
06-May-18, To Luca Mircoli  ,16,  ,  ,  ,205.14, transfers, 
06-May-18, To Holidays   ,0.01,  ,  ,  ,221.14, transfers, 
06-May-18, To Holidays   ,0.25,  ,  ,  ,221.15, transfers, 
06-May-18, Planet Organic  ,4.5,  ,  ,  ,221.4, groceries, 
06-May-18, TortelliniCup London  ,4.5,  ,  ,  ,225.9, restaurants, 
05-May-18, To Holidays   ,0.83,  ,  ,  ,230.4, transfers, 
05-May-18, To Holidays   ,0.15,  ,  ,  ,231.23, transfers, 
05-May-18, To Holidays   ,1,  ,  ,  ,231.38, transfers, 
05-May-18, To Holidays   ,0.8,  ,  ,  ,232.38, transfers, 
05-May-18, Ryanair  ,65.84,  ,  ,  ,233.18, travel, 
05-May-18, Transport for London  ,5.3,  ,  ,  ,299.02, transport, 
05-May-18, To Holidays   ,0.45,  ,  ,  ,304.32, transfers, 
04-May-18, To Holidays   ,0.65,  ,  ,  ,304.77, transfers, 
04-May-18, To Holidays   ,0.5,  ,  ,  ,305.42, transfers, 
04-May-18, To Holidays   ,0.5,  ,  ,  ,305.92, transfers, 
04-May-18, Cash at Sainsbury's Bank  ,20,  ,  ,  ,306.42, cash, 
04-May-18, Cr Ltd Tott?m Crt W1t  ,20,  ,  ,  ,326.42, entertainment, 
04-May-18, Hilco Supermarket Limited  ,27.32,  ,  ,  ,346.42, groceries, 
03-May-18, The Japanese Canteen  ,31.8,  ,  ,  ,373.74, restaurants, 
03-May-18, Chapter Spitalfields  ,1.95,  ,  ,  ,405.54, restaurants, 
03-May-18, Chapter Spitalfields  ,1.65,  ,  ,  ,407.49, restaurants, 
03-May-18, Boots  ,2.99,  ,  ,  ,409.14, health, 
03-May-18, To Lorenz Maresca  ,15,  ,  ,  ,412.13, transfers, 
02-May-18, TortelliniCup London  ,13.4,  ,  ,  ,427.13, restaurants, 
30-Apr-18, To Lorenz Maresca  ,100,  ,  ,  ,440.53, transfers, 
30-Apr-18, To Christopher Maclean  ,1,,,,,,
30-Apr-18, Exchange  to GBP FX Rate £1 = €1.1371 ,  ,714.08,  EUR 812.00 ,  ,1,,
30-Apr-18, Payment from Complete Accountin  ,  ,1,,,,,
30-Apr-18, Transport for London  ,2.9,  ,  ,  ,151.41, transport, 
30-Apr-18, Sainsbury's  ,4.7,  ,  ,  ,154.31, groceries, 
30-Apr-18, Harrow Halls of Residence. University of Westminster  ,3.05,  ,  ,  ,159.01, restaurants, 
30-Apr-18, Transport for London  ,2.4,  ,  ,  ,162.06, transport, 
30-Apr-18, Planet Organic  ,4.5,  ,  ,  ,164.46, groceries, 
30-Apr-18, Waitrose  ,8.5,  ,  ,  ,168.96, groceries, 
30-Apr-18, TortelliniCup London  ,3.8,  ,  ,  ,177.46, restaurants, 
30-Apr-18, Transport for London  ,5.8,  ,  ,  ,181.26, transport, 
30-Apr-18, TortelliniCup London  ,13.8,  ,  ,  ,187.06, restaurants, 
29-Apr-18, Transport for London  ,6.8,  ,  ,  ,200.86, transport, 
29-Apr-18, TortelliniCup London  ,12.8,  ,  ,  ,207.66, restaurants, 
28-Apr-18, Sainsbury's  ,50.03,  ,  ,  ,220.46, groceries, 
28-Apr-18, Starbucks Coffee  ,3.75,  ,  ,  ,270.49, restaurants, 
28-Apr-18, Ole & Steen  ,2.6,  ,  ,  ,274.24, groceries, 
28-Apr-18, Planet Organic  ,2.4,  ,  ,  ,276.84, groceries, 
28-Apr-18, Hertz Proa Rent A Car FX Rate £1 = €1.1476 ,57.58,  ,  EUR 66.07 ,  ,279.24, transport, 
27-Apr-18, London Stansted Airport  ,30,  ,  ,  ,336.82, transport, 
27-Apr-18, The Japanese Canteen  ,7.95,  ,  ,  ,366.82, restaurants, 
27-Apr-18, Transport for London  ,2.4,  ,  ,  ,374.77, transport, 
25-Apr-18, To Lorenz Maresca  ,40,  ,  ,  ,377.17, transfers, 
23-Apr-18, To Bruno Arturo Fragnito  ,15,  ,  ,  ,417.17, transfers, 
23-Apr-18, To Lorenz Maresca  ,30,  ,  ,  ,432.17, transfers, 
22-Apr-18, To Kseniya Kamen  ,19,  ,  ,  ,462.17, transfers, 
21-Apr-18, World Duty Free Group España S A FX Rate £1 = €1.1472 ,57.54,  ,  EUR 66.00 ,  ,481.17, shopping, 
21-Apr-18, London Stansted Airport  ,10.09,  ,  ,  ,538.71, restaurants, 
21-Apr-18, WH Smith  ,14.68,  ,  ,  ,548.8, shopping, 
19-Apr-18, To Lorenz Maresca  ,30,  ,  ,  ,563.48, transfers, 
19-Apr-18, Exchange GBP to  FX Rate £1 = €1.1406 ,150,  ,  GBP 150.00 ,  ,593.48, general, 
19-Apr-18, Payment from L Maresca  ,  ,600,  ,  ,743.48, general, MONEY TRANSFER
18-Apr-18, Cash at Sainsbury's Bank  ,20,  ,  ,  ,143.48, cash, 
18-Apr-18, Hilco Supermarket Limited  ,20.65,  ,  ,  ,163.48, groceries, 
18-Apr-18, Transport for London  ,2.4,  ,  ,  ,184.13, transport, 
17-Apr-18, PureGym York  ,12.99,  ,  ,  ,186.53, entertainment, 
17-Apr-18, FishWorks  ,7.9,  ,  ,  ,199.52, restaurants, 
17-Apr-18, The Gallery London  ,11,  ,  ,  ,207.42, restaurants, 
17-Apr-18, Shake Shack Canary Wharf  ,13.5,  ,  ,  ,218.42, restaurants, 
17-Apr-18, Chiltern Firehouse  ,25.3,  ,  ,  ,231.92, restaurants, 
17-Apr-18, The Gallery London  ,11,  ,  ,  ,257.22, restaurants, 
17-Apr-18, Tesco Superstore  ,7.5,  ,  ,  ,268.22, groceries, 
17-Apr-18, Buongiorno e Buonasera  ,7.65,  ,  ,  ,275.72, restaurants, 
15-Apr-18, Sainsbury's  ,2.7,  ,  ,  ,283.37, groceries, 
15-Apr-18, TortelliniCup London  ,8,  ,  ,  ,286.07, restaurants, 
15-Apr-18, Nando's  ,21.95,  ,  ,  ,294.07, restaurants, 
15-Apr-18, Marylebone  ,1.25,  ,  ,  ,316.02, restaurants, 
15-Apr-18, Marylebone  ,1.2,  ,  ,  ,317.27, restaurants, 
14-Apr-18, To Luca Mircoli  ,6,  ,  ,  ,318.47, transfers, 
14-Apr-18, Marylebone  ,3.3,  ,  ,  ,324.47, restaurants, 
13-Apr-18, From Maria Fiore Davoli  ,  ,11,  ,  ,327.77, transfers, 
12-Apr-18, To Alberto S  ,20,  ,  ,  ,316.77, transfers, fiums
12-Apr-18, Exchange  to GBP FX Rate £1 = €1.1540 ,  ,331.01,  EUR 382.00 ,  ,336.77, general, 
11-Apr-18, Cash at Sainsbury's Bank  ,20,  ,  ,  ,5.76, cash, 
11-Apr-18, Sainsbury's  ,5,  ,  ,  ,25.76, groceries, 
10-Apr-18, To Wioleta Bogalecka  ,15,  ,  ,  ,30.76, transfers, 
10-Apr-18, Payment from L Maresca  ,  ,13,  ,  ,45.76, general, MONEY TRANSFER
10-Apr-18, Hilco Supermarket Limited  ,20.07,  ,  ,  ,32.76, groceries, 
10-Apr-18, TortelliniCup London  ,19.8,  ,  ,  ,52.83, restaurants, 
10-Apr-18, Pret A Manger  ,1.5,  ,  ,  ,72.63, restaurants, 
10-Apr-18, TortelliniCup London  ,3,  ,  ,  ,74.13, restaurants, 
10-Apr-18, Shoryu Go  ,31.9,  ,  ,  ,77.13, restaurants, 
10-Apr-18, To Wioleta Bogalecka  ,480,  ,  ,  ,109.03, transfers, 
10-Apr-18, Marylebone  ,5.8,  ,  ,  ,589.03, restaurants, 
10-Apr-18, Chipotle Mexican Grill  ,8.8,  ,  ,  ,594.83, restaurants, 
09-Apr-18, Payment from Kamenskikh K  ,  ,30,  ,  ,603.63, general, GRAND CANARIA
08-Apr-18, Exchange  to GBP FX Rate £1 = €1.1538 ,  ,135.19,  EUR 156.00 ,  ,573.63, general, 
08-Apr-18, Wasabi Sushi & Bento  ,12.8,  ,  ,  ,438.44, restaurants, 
07-Apr-18, Airbnb Hm4cejqz3k FX Rate £1 = €1.1455 ,200.16,  ,  EUR 229.28 ,  ,451.24, travel, 
07-Apr-18, Mandarin Oriental Hyde Park. London  ,4,  ,  ,  ,651.4, restaurants, 
07-Apr-18, Park Plaza Sherlock Holmes London  ,1.5,  ,  ,  ,655.4, restaurants, 
07-Apr-18, Park Plaza Sherlock Holmes London  ,13.3,  ,  ,  ,656.9, restaurants, 
07-Apr-18, Marylebone Books  ,4.75,  ,  ,  ,670.2, shopping, 
07-Apr-18, Va Swiss Cottage  ,67.59,  ,  ,  ,674.95, entertainment, 
07-Apr-18, Baskin Robbins  ,10.8,  ,  ,  ,742.54, groceries, 
07-Apr-18, Boots  ,8.98,  ,  ,  ,753.34, health, 
07-Apr-18, Waitrose  ,18.91,  ,  ,  ,762.32, groceries, 
06-Apr-18, Vodafone FX Rate £1 = €1.1450 ,26.03,  ,  EUR 29.80 ,  ,781.23, services, 
05-Apr-18, Iside Ristorante FX Rate £1 = €1.1282 ,132.96,  ,  EUR 150.00 ,  ,807.26, restaurants, 
05-Apr-18, Ondanomala            810 FX Rate £1 = €1.1413 ,24.98,  ,  EUR 28.50 ,  ,940.22, travel, 
04-Apr-18, To Lorenz Maresca  ,20,  ,  ,  ,965.2, transfers, 
04-Apr-18, Exchange  to GBP FX Rate £1 = €1.1449 ,  ,698.74,  EUR 800.00 ,  ,985.2, general, 
02-Apr-18, Exchange GBP to  FX Rate £1 = €1.1418 ,17.5,  ,  GBP 17.50 ,  ,286.46, general, 
02-Apr-18, Genesi S R L  Uniperso FX Rate £1 = €1.1339 ,105.83,  ,  EUR 120.00 ,  ,303.96, restaurants, 
02-Apr-18, Duke?s FX Rate £1 = €1.1391 ,22.83,  ,  EUR 26.00 ,  ,409.79, restaurants, 
30-Mar-18, To Lorenz Maresca  ,20,  ,  ,  ,432.62, transfers, 
29-Mar-18, To Christopher Maclean  ,1,,,,,,
29-Mar-18, Mr Lee  ,9,  ,  ,  ,1,,
29-Mar-18, Iz *brewandwild  ,4.45,  ,  ,  ,1,,
29-Mar-18, Tsgn  ,13.9,  ,  ,  ,1,,
29-Mar-18, London Luton Airport  ,4.75,  ,  ,  ,1,,
29-Mar-18, Payment from Complete Tax Sol  ,  ,1,,,,,
28-Mar-18, Cash at Royal Bank of Scotland  ,10,  ,  ,  ,306.59, cash, 
28-Mar-18, Waitrose  ,23.78,  ,  ,  ,316.59, groceries, 
28-Mar-18, Sainsbury's  ,3.75,  ,  ,  ,340.37, groceries, 
28-Mar-18, Payment from Kamenskikh K  ,  ,20,  ,  ,344.12, general, DINNER
27-Mar-18, Transport for London  ,4.8,  ,  ,  ,324.12, transport, 
27-Mar-18, Vue Bsl Ltd  ,6.5,  ,  ,  ,328.92, entertainment, 
27-Mar-18, Vue Bsl Ltd  ,5,  ,  ,  ,335.42, entertainment, 
27-Mar-18, Sainsbury's  ,0.5,  ,  ,  ,340.42, groceries, 
27-Mar-18, Transport for London  ,2.4,  ,  ,  ,340.92, transport, 
27-Mar-18, Buongiorno e Buonasera  ,38.2,  ,  ,  ,343.32, restaurants, 
27-Mar-18, Marylebone  ,4.3,  ,  ,  ,381.52, restaurants, 
25-Mar-18, To Kseniya Kamen  ,10,  ,  ,  ,385.82, transfers, 
25-Mar-18, Hilco Supermarket Limited  ,16.27,  ,  ,  ,395.82, groceries, 
25-Mar-18, Transport for London  ,2.4,  ,  ,  ,412.09, transport, 
25-Mar-18, Transport for London  ,4.8,  ,  ,  ,414.49, transport, 
25-Mar-18, DF/Mexico  ,21.6,  ,  ,  ,419.29, restaurants, 
25-Mar-18, Tombo Cafe  ,39.2,  ,  ,  ,440.89, restaurants, 
24-Mar-18, Marylebone  ,3.1,  ,  ,  ,480.09, restaurants, 
24-Mar-18, Marylebone  ,2.45,  ,  ,  ,483.19, restaurants, 
23-Mar-18, Tombo Cafe  ,10.65,  ,  ,  ,485.64, restaurants, 
22-Mar-18, Transport for London  ,6.8,  ,  ,  ,496.29, transport, 
22-Mar-18, Hilco Supermarket Limited  ,17.25,  ,  ,  ,503.09, groceries, 
21-Mar-18, Transport for London  ,6.8,  ,  ,  ,520.34, transport, 
20-Mar-18, Payment from L Maresca  ,  ,500,  ,  ,527.14, general, MONEY TRANSFER
20-Mar-18, Cash at Sainsbury's Bank  ,10,  ,  ,  ,27.14, cash, 
20-Mar-18, The Globe Marylebone  ,8.9,  ,  ,  ,37.14, restaurants, 
20-Mar-18, Koya Soho  ,12.84,  ,  ,  ,46.04, restaurants, 
19-Mar-18, Espressamente Illy Coffee Shop. London  ,6.7,  ,  ,  ,58.88, restaurants, 
19-Mar-18, TortelliniCup London  ,11.4,  ,  ,  ,65.58, restaurants, 
19-Mar-18, The London EDITION  ,25.88,  ,  ,  ,76.98, travel, 
19-Mar-18, Transport for London  ,2.4,  ,  ,  ,102.86, transport, 
18-Mar-18, Payment from S Migliorin  ,  ,2.7,  ,  ,105.26, general, FANCULO AHAH
17-Mar-18, Exchange  to GBP FX Rate £1 = €1.1392 ,  ,26.71,  EUR 30.44 ,  ,102.56, general, 
17-Mar-18, Exchange GBP to  FX Rate £1 = €1.1277 ,27,  ,  GBP 27.00 ,  ,75.85, general, 
17-Mar-18, To Luca Mircoli  ,15,  ,  ,  ,102.85, transfers, 
17-Mar-18, Park Plaza Sherlock Holmes London  ,3.95,  ,  ,  ,117.85, restaurants, 
16-Mar-18, Sainsbury's  ,5.75,  ,  ,  ,121.8, groceries, 
15-Mar-18, Whole Foods Market  ,3.49,  ,  ,  ,127.55, groceries, 
15-Mar-18, Whole Foods Market  ,0.99,  ,  ,  ,131.04, groceries, 
15-Mar-18, Whole Foods Market  ,7.49,  ,  ,  ,132.03, groceries, 
15-Mar-18, Transport for London  ,2.9,  ,  ,  ,139.52, transport, 
15-Mar-18, Fierce Grace North  ,10,  ,  ,  ,142.42, services, 
15-Mar-18, Transport for London  ,2.9,  ,  ,  ,152.42, transport, 
15-Mar-18, Waitrose  ,44.64,  ,  ,  ,155.32, groceries, 
14-Mar-18, TortelliniCup London  ,9.2,  ,  ,  ,199.96, restaurants, 
14-Mar-18, Planet Organic  ,4.5,  ,  ,  ,209.16, groceries, 
13-Mar-18, Cash at Sainsbury's Bank  ,20,  ,  ,  ,213.66, cash, 
13-Mar-18, The Japanese Canteen  ,24.85,  ,  ,  ,233.66, restaurants, 
13-Mar-18, Transport for London  ,2.4,  ,  ,  ,258.51, transport, 
12-Mar-18, Waterstones  ,19.97,  ,  ,  ,260.91, shopping, 
12-Mar-18, Zima Russian St Food  ,23.06,  ,  ,  ,280.88, restaurants, 
11-Mar-18, Transport for London  ,4.8,  ,  ,  ,303.94, transport, 
11-Mar-18, Pret A Manger  ,13.97,  ,  ,  ,308.74, restaurants, 
11-Mar-18, Enoteca Da Luca  ,17.78,  ,  ,  ,322.71, restaurants, 
10-Mar-18, Homebase - London Acton  ,5.02,  ,  ,  ,340.49, utilities, 
10-Mar-18, Sainsbury's  ,46.37,  ,  ,  ,345.51, groceries, 
10-Mar-18, Sainsbury's  ,10.5,  ,  ,  ,391.88, groceries, 
09-Mar-18, Payment from Kamenskikh K  ,  ,11.5,  ,  ,402.38, general, ZIMA
09-Mar-18, Payment from Kamenskikh K  ,  ,185,  ,  ,390.88, general, APRIL TRIP
09-Mar-18, Planet Organic  ,4.5,  ,  ,  ,205.88, groceries, 
07-Mar-18, Planet Organic  ,4.5,  ,  ,  ,210.38, groceries, 
07-Mar-18, Ryanair     22400000m2m6n  ,194.78,  ,  ,  ,214.88, travel, 
07-Mar-18, TortelliniCup London  ,8.2,  ,  ,  ,409.66, restaurants, 
07-Mar-18, To Falk Siegel  ,45,  ,  ,  ,417.86, transfers, 
06-Mar-18, Airbnb * Hmwkzhzbrs FX Rate £1 = €1.1147 ,160.09,  ,  EUR 178.46 ,  ,462.86, travel, 
06-Mar-18, Pp*transformdr  ,4.99,  ,  ,  ,622.95, entertainment, 
06-Mar-18, Hilco Supermarket Ltd  ,34.28,  ,  ,  ,627.94, groceries, 
06-Mar-18, Transport for London  ,3,  ,  ,  ,662.22, transport, 
06-Mar-18, Fierce Grace West  ,22,  ,  ,  ,665.22, health, 
05-Mar-18, Buongiorno e Buonasera  ,11.46,  ,  ,  ,687.22, restaurants, 
05-Mar-18, Co-op Food - Strand  ,7.87,  ,  ,  ,698.68, groceries, 
05-Mar-18, G&H Bottrill  ,9.1,  ,  ,  ,706.55, groceries, 
05-Mar-18, Transport for London  ,4.8,  ,  ,  ,715.65, transport, 
05-Mar-18, Paul Smith Avery Row  ,185,  ,  ,  ,720.45, shopping, 
04-Mar-18, Transport for London  ,2.4,  ,  ,  ,905.45, transport, 
04-Mar-18, Planet Organic  ,11.49,  ,  ,  ,907.85, groceries, 
03-Mar-18, Tfl.gov.uk  ,6.8,  ,  ,  ,919.34, transport, 
02-Mar-18, To Luca Mircoli  ,16,  ,  ,  ,926.14, transfers, 
02-Mar-18, TortelliniCup London  ,6.7,  ,  ,  ,942.14, restaurants, 
01-Mar-18, To Christopher Maclean  ,1,,,,,,
01-Mar-18, Exchange  to GBP FX Rate £1 = €1.1277 ,  ,709.38,  EUR 800.00 ,  ,2,,
01-Mar-18, To Luca Mircoli  ,10,  ,  ,  ,1,,
28-Feb-18, Payment from L Maresca  ,  ,400,  ,  ,1,,
28-Feb-18, Payment from Complete Accountin  ,  ,1,,,,,
27-Feb-18, Cafe Noir Ltd  ,4,  ,  ,  ,0.6, groceries, 
26-Feb-18, 2 Lower John St. London W1R 3PD  ,30,  ,  ,  ,4.6, restaurants, 
26-Feb-18, JOE & THE JUICE  ,3.15,  ,  ,  ,34.6, restaurants, 
26-Feb-18, JOE & THE JUICE  ,13.35,  ,  ,  ,37.75, restaurants, 
26-Feb-18, Chapter Spitalfields  ,10,  ,  ,  ,51.1, restaurants, 
25-Feb-18, Transport for London  ,2.4,  ,  ,  ,61.1, transport, 
24-Feb-18, To Lorenz Maresca  ,9.59,  ,  ,  ,63.5, transfers, 
24-Feb-18, Park Plaza Sherlock Holmes London  ,2.5,  ,  ,  ,73.09, restaurants, 
24-Feb-18, Transport for London  ,2.4,  ,  ,  ,75.59, transport, 
23-Feb-18, Transport for London  ,7.9,  ,  ,  ,77.99, transport, 
21-Feb-18, Ole & Steen  ,8.2,  ,  ,  ,85.89, groceries, 
21-Feb-18, TortelliniCup London  ,8,  ,  ,  ,94.09, restaurants, 
21-Feb-18, Planet Organic  ,13.98,  ,  ,  ,102.09, groceries, 
21-Feb-18, Transport for London  ,4.4,  ,  ,  ,116.07, transport, 
20-Feb-18, To Wioleta Bogalecka  ,70,  ,  ,  ,120.47, transfers, 
20-Feb-18, Christ Church London: Central London  ,7.5,  ,  ,  ,190.47, services, 
20-Feb-18, Sainsbury's  ,0.7,  ,  ,  ,197.97, groceries, 
19-Feb-18, Payment from Kamenskikh K  ,  ,7,  ,  ,198.67, general, BREAKFAST
19-Feb-18, Caffe Concerto  ,8.89,  ,  ,  ,191.67, restaurants, 
19-Feb-18, the Hop Locker Ltd  ,6,  ,  ,  ,200.56, shopping, 
19-Feb-18, Lul Ticket Machine  ,10,  ,  ,  ,206.56, transport, 
19-Feb-18, Transport for London  ,1.5,  ,  ,  ,216.56, transport, 
18-Feb-18, To Paolo Schiavone  ,100,  ,  ,  ,218.06, transfers, 
18-Feb-18, Va Swiss Cottage  ,88,  ,  ,  ,318.06, entertainment, 
18-Feb-18, Transport for London  ,4.8,  ,  ,  ,406.06, transport, 
18-Feb-18, TortelliniCup London  ,6.1,  ,  ,  ,410.86, restaurants, 
17-Feb-18, McDonald's  ,4.27,  ,  ,  ,416.96, restaurants, 
17-Feb-18, Regents Sports And Rec  ,1,  ,  ,  ,421.23, services, 
17-Feb-18, Park Plaza Sherlock Holmes London  ,17.41,  ,  ,  ,422.23, restaurants, 
17-Feb-18, Transport for London  ,5.6,  ,  ,  ,439.64, transport, 
16-Feb-18, To Lorenz Maresca  ,25,  ,  ,  ,445.24, transfers, 
16-Feb-18, Transport for London  ,4.8,  ,  ,  ,470.24, transport, 
16-Feb-18, Sainsbury's  ,11.35,  ,  ,  ,475.04, groceries, 
16-Feb-18, Tesco Superstore  ,23.98,  ,  ,  ,486.39, groceries, 
16-Feb-18, Todich Floral Design - London florist  ,2.5,  ,  ,  ,510.37, shopping, 
16-Feb-18, Exchange  to GBP FX Rate £1 = €1.1267 ,  ,443.76,  EUR 500.00 ,  ,512.87, general, 
15-Feb-18, Transport for London  ,2.9,  ,  ,  ,69.11, transport, 
15-Feb-18, Hilco Supermarket Ltd  ,9.99,  ,  ,  ,72.01, groceries, 
15-Feb-18, Vapiano  ,22.95,  ,  ,  ,82, restaurants, 
14-Feb-18, Pinocchios  ,68.2,  ,  ,  ,104.95, restaurants, 
14-Feb-18, Ahi Poke  ,11.45,  ,  ,  ,173.15, restaurants, 
14-Feb-18, Transport for London  ,2.9,  ,  ,  ,184.6, transport, 
13-Feb-18, To Kseniya Kamen  ,15,  ,  ,  ,187.5, transfers, 
13-Feb-18, Transport for London  ,7.9,  ,  ,  ,202.5, transport, 
13-Feb-18, Transport for London  ,4.8,  ,  ,  ,210.4, transport, 
13-Feb-18, Fucina  ,7.9,  ,  ,  ,215.2, restaurants, 
13-Feb-18, Marks & Spencer Canterbury  ,10,  ,  ,  ,223.1, groceries, 
13-Feb-18, Costa Coffee  ,6.65,  ,  ,  ,233.1, restaurants, 
12-Feb-18, Sainsbury's  ,17.6,  ,  ,  ,239.75, groceries, 
12-Feb-18, Waitrose  ,3.74,  ,  ,  ,257.35, groceries, 
12-Feb-18, Bill's Baker Street Restaurant  ,24.75,  ,  ,  ,261.09, restaurants, 
12-Feb-18, TortelliniCup London  ,9,  ,  ,  ,285.84, restaurants, 
11-Feb-18, To Lorenz Maresca  ,30,  ,  ,  ,294.84, transfers, 
11-Feb-18, To Luca Mircoli  ,10,  ,  ,  ,324.84, transfers, 
11-Feb-18, Planet Organic  ,19.94,  ,  ,  ,334.84, groceries, 
10-Feb-18, Cash at O2 Finchley Road 2  ,20,  ,  ,  ,354.78, cash, 
10-Feb-18, Tesco Superstore  ,10.24,  ,  ,  ,374.78, groceries, 
10-Feb-18, JOE & THE JUICE  ,8.3,  ,  ,  ,385.02, restaurants, 
09-Feb-18, TortelliniCup London  ,5.5,  ,  ,  ,393.32, restaurants, 
09-Feb-18, Transport for London  ,5.5,  ,  ,  ,398.82, transport, 
07-Feb-18, To Lorenz Maresca  ,20,  ,  ,  ,404.32, transfers, 
07-Feb-18, Exchange  to GBP FX Rate £1 = €1.1312 ,  ,424.32,  EUR 480.00 ,  ,424.32, general, 
07-Feb-18, Exchange  to GBP FX Rate £1 = €1.1258 ,  ,2.33,  EUR 2.63 ,  ,0, general, 
07-Feb-18, Cash at Baker Street  ,30,  ,  ,  ,-2.33, cash, 
05-Feb-18, Cash at Sainsbury's Bank  ,10,  ,  ,  ,27.67, cash, 
